 ***************************粒子群算法进化代数:   1 最大目标函数值:  0.7968****** 耗时:     9s*****************************************
 ***************************粒子群算法进化代数:   2 最大目标函数值:  0.7815****** 耗时:    17s*****************************************
 ***************************粒子群算法进化代数:   3 最大目标函数值:  0.7767****** 耗时:    26s*****************************************
 ***************************粒子群算法进化代数:   4 最大目标函数值:  0.7824****** 耗时:    34s*****************************************
 ***************************粒子群算法进化代数:   5 最大目标函数值:  0.7859****** 耗时:    43s*****************************************
 ***************************粒子群算法进化代数:   6 最大目标函数值:  0.7880****** 耗时:    51s*****************************************
 ***************************粒子群算法进化代数:   7 最大目标函数值:  0.7893****** 耗时:    60s*****************************************
 ***************************粒子群算法进化代数:   8 最大目标函数值:  0.7902****** 耗时:    69s*****************************************
 ***************************粒子群算法进化代数:   9 最大目标函数值:  0.7914****** 耗时:    78s*****************************************
 ***************************粒子群算法进化代数:  10 最大目标函数值:  0.7927****** 耗时:    88s*****************************************
 ***************************粒子群算法进化代数:  11 最大目标函数值:  0.7938****** 耗时:    98s*****************************************
 ***************************粒子群算法进化代数:  12 最大目标函数值:  0.7947****** 耗时:   105s*****************************************
 ***************************粒子群算法进化代数:  13 最大目标函数值:  0.7952****** 耗时:   114s*****************************************
 ***************************粒子群算法进化代数:  14 最大目标函数值:  0.7955****** 耗时:   122s*****************************************
 ***************************粒子群算法进化代数:  15 最大目标函数值:  0.7953****** 耗时:   132s*****************************************
 ***************************粒子群算法进化代数:  16 最大目标函数值:  0.7955****** 耗时:   140s*****************************************
 ***************************粒子群算法进化代数:  17 最大目标函数值:  0.7958****** 耗时:   150s*****************************************
 ***************************粒子群算法进化代数:  18 最大目标函数值:  0.7962****** 耗时:   160s*****************************************
 ***************************粒子群算法进化代数:  19 最大目标函数值:  0.7966****** 耗时:   170s*****************************************
 ***************************粒子群算法进化代数:  20 最大目标函数值:  0.7970****** 耗时:   180s*****************************************


 *************************************************************
 *************并行粒子群算法率定swat参数**********************


 开始时间: 20170508 08:12:50:225   结束时间: 20170508 08:15:50:852    历时:  180s


 率定的参数个数:  4 迭代次数:   20  种子个数:   64  进程数:   32


 the best simulate: the recur_num = 20    the seed_num = 64


 best object function value(  0.7970) not arrive the threshold(0.90)


 *************************************************************
 *************************************************************
 ***************************粒子群算法进化代数:   1 最大目标函数值:  0.8078****** 耗时:     9s*****************************************
 ***************************粒子群算法进化代数:   2 最大目标函数值:  0.7769****** 耗时:    18s*****************************************
 ***************************粒子群算法进化代数:   3 最大目标函数值:  0.7721****** 耗时:    27s*****************************************
 ***************************粒子群算法进化代数:   4 最大目标函数值:  0.7742****** 耗时:    35s*****************************************
 ***************************粒子群算法进化代数:   5 最大目标函数值:  0.7721****** 耗时:    45s*****************************************
 ***************************粒子群算法进化代数:   6 最大目标函数值:  0.7698****** 耗时:    53s*****************************************
 ***************************粒子群算法进化代数:   7 最大目标函数值:  0.7722****** 耗时:    63s*****************************************
 ***************************粒子群算法进化代数:   8 最大目标函数值:  0.7733****** 耗时:    73s*****************************************
 ***************************粒子群算法进化代数:   9 最大目标函数值:  0.7753****** 耗时:    83s*****************************************
 ***************************粒子群算法进化代数:  10 最大目标函数值:  0.7772****** 耗时:    94s*****************************************
 ***************************粒子群算法进化代数:  11 最大目标函数值:  0.7787****** 耗时:   104s*****************************************
 ***************************粒子群算法进化代数:  12 最大目标函数值:  0.7794****** 耗时:   114s*****************************************
 ***************************粒子群算法进化代数:  13 最大目标函数值:  0.7800****** 耗时:   124s*****************************************
 ***************************粒子群算法进化代数:  14 最大目标函数值:  0.7804****** 耗时:   134s*****************************************
 ***************************粒子群算法进化代数:  15 最大目标函数值:  0.7799****** 耗时:   144s*****************************************
 ***************************粒子群算法进化代数:  16 最大目标函数值:  0.7791****** 耗时:   153s*****************************************
 ***************************粒子群算法进化代数:  17 最大目标函数值:  0.7782****** 耗时:   164s*****************************************
 ***************************粒子群算法进化代数:  18 最大目标函数值:  0.7778****** 耗时:   174s*****************************************
 ***************************粒子群算法进化代数:  19 最大目标函数值:  0.7781****** 耗时:   183s*****************************************
