1     : Objective function type, 1=r2,2=NS
0.9   : when this values of obj fn is reached, process terminates
60    : number of data points 

num    month  year  obser_value
1 	     1    1996	   69.22
2	     2    1996	  111.11
3	     3    1996	  155.42
4	     4    1996	  631.67
5	     5    1996	     255
6	     6    1996	   26.42
7	     7    1996	   17.91
8	     8    1996	    6.51
9	     9    1996	   17.54
10	     10   1996	   36.08
11	     11   1996	   52.35
12	     12   1996	    59.1
13	     1    1997	   55.59
14	     2    1997	   60.89
15	     3    1997	   88.39
16	     4    1997	  219.33
17	     5    1997	  134.92
18	     6    1997	   31.59
19	     7    1997	   14.52
20	     8    1997	    0.42
21	     9    1997	       2
22	     10   1997	   14.25
23	     11   1997	    58.4
24	     12   1997	   53.36
25	     1    1998	   52.18
26	     2    1998	   83.91
27	     3    1998	  305.77
28	     4    1998	  497.13
29	     5    1998	   184.2
30	     6    1998	   30.97
31	     7    1998	    4.65
32	     8    1998	    5.04
33	     9    1998	     5.6
34	     10   1998	   20.71
35	     11   1998	   38.69
36	     12   1998	    40.4
37	     1    1999	   48.58
38	     2    1999	   56.58
39	     3    1999	   57.89
40	     4    1999	   60.84
41	     5    1999	   13.46
42	     6    1999		1.59
43	     7    1999		2.69
44	     8    1999		4.98
45	     9    1999		2.63
46	     10   1999		6.33
47	     11   1999		19.65
48	     12   1999		26.81
49	     1    2000		29.21
50	     2    2000		32.03
51	     3    2000		111.7
52	     4    2000		127.1
53	     5    2000		23.69
54	     6    2000		2.26
55	     7    2000		0.55
56	     8    2000		0.27
57	     9    2000		0.22
58	     10   2000		0.77
59	     11   2000		10.32
60	     12   2000		25.84
