1     : Objective function type, 1=r2,2=NS
0.9   : when this values of obj fn is reached, process terminates
60    : number of data points 

num    month  year  obser_value
73	     1    1996	   69.22
74	     2    1996	  111.11
75	     3    1996	  155.42
76	     4    1996	  631.67
77	     5    1996	     255
78	     6    1996	   26.42
79	     7    1996	   17.91
80	     8    1996	    6.51
81	     9    1996	   17.54
82	     10   1996	   36.08
83	     11   1996	   52.35
84	     12   1996	    59.1
85	     1    1997	   55.59
86	     2    1997	   60.89
87	     3    1997	   88.39
88	     4    1997	  219.33
89	     5    1997	  134.92
90	     6    1997	   31.59
91	     7    1997	   14.52
92	     8    1997	    0.42
93	     9    1997	       2
94	     10   1997	   14.25
95	     11   1997	    58.4
96	     12   1997	   53.36
97	     1    1998	   52.18
98	     2    1998	   83.91
99	     3    1998	  305.77
100	     4    1998	  497.13
101	     5    1998	   184.2
102	     6    1998	   30.97
103	     7    1998	    4.65
104	     8    1998	    5.04
105	     9    1998	     5.6
106	     10   1998	   20.71
107	     11   1998	   38.69
108	     12   1998	    40.4
109	     1    1999	   48.58
110	     2    1999	   56.58
111	     3    1999	   57.89
112	     4    1999	   60.84
113	     5    1999	   13.46
114	     6    1999		1.59
115	     7    1999		2.69
116	     8    1999		4.98
117	     9    1999		2.63
118	     10   1999		6.33
119	     11   1999		19.65
120	     12   1999		26.81
121	     1    2000		29.21
122	     2    2000		32.03
123	     3    2000		111.7
124	     4    2000		127.1
125	     5    2000		23.69
126	     6    2000		2.26
127	     7    2000		0.55
128	     8    2000		0.27
129	     9    2000		0.22
130	     10   2000		0.77
131	     11   2000		10.32
132	     12   2000		25.84
