reach(subbasin) number:       3


year    month    simu_value
1990       1      0.2989E-01
1990       2      0.7986E-01
1990       3      0.1769E+02
1990       4      0.3353E+02
1990       5      0.1591E+02
1990       6      0.3753E+00
1990       7      0.0000E+00
1990       8      0.0000E+00
1990       9      0.0000E+00
1990      10      0.0000E+00
1990      11      0.0000E+00
1990      12      0.2463E-02
1991       1      0.0000E+00
1991       2      0.0000E+00
1991       3      0.1803E+02
1991       4      0.4321E+02
1991       5      0.2480E+02
1991       6      0.5766E+01
1991       7      0.0000E+00
1991       8      0.0000E+00
1991       9      0.0000E+00
1991      10      0.0000E+00
1991      11      0.2707E+00
1991      12      0.5462E+01
1992       1      0.2462E+01
1992       2      0.4774E+01
1992       3      0.1621E+02
1992       4      0.5811E+02
1992       5      0.5721E+02
1992       6      0.3385E+02
1992       7      0.5537E+01
1992       8      0.0000E+00
1992       9      0.0000E+00
1992      10      0.0000E+00
1992      11      0.1494E+00
1992      12      0.6090E+01
1993       1      0.5540E+01
1993       2      0.4648E+01
1993       3      0.2026E+02
1993       4      0.2796E+02
1993       5      0.3438E+02
1993       6      0.1740E+02
1993       7      0.1078E+01
1993       8      0.0000E+00
1993       9      0.0000E+00
1993      10      0.0000E+00
1993      11      0.5282E+00
1993      12      0.1867E+02
1994       1      0.3690E+02
1994       2      0.3766E+02
1994       3      0.5238E+02
1994       4      0.4648E+02
1994       5      0.4472E+02
1994       6      0.1990E+02
1994       7      0.1565E+01
1994       8      0.0000E+00
1994       9      0.0000E+00
1994      10      0.0000E+00
1994      11      0.1217E+02
1994      12      0.2094E+02
1995       1      0.1443E+02
1995       2      0.3031E+02
1995       3      0.1935E+02
1995       4      0.2957E+02
1995       5      0.5040E+02
1995       6      0.3939E+02
1995       7      0.1576E+02
1995       8      0.6780E+00
1995       9      0.0000E+00
1995      10      0.0000E+00
1995      11      0.0000E+00
1995      12      0.0000E+00
